,date,title,userName,rating,isEdited,review,developerResponse
0,2019-11-26 16:02:41,아이폰 튕김현상,도대체 어쩌라는거지,4,False,"게임중 5분이상 못가고 계속 튕겨요 ㅠㅠ
살려주세여 아이폰도 할수있게해주세여
아이폰좀 최적화해주세요 처음 시작할때 화면이 깨져요 좀지나면 정상화되기는하는대여
이것도보 튕김현상이 너무심해서 게임을 즐길수없네요 꼭 내일은 제대로 할수있게 해주세요",
1,2019-12-24 06:57:53,보라고 별 5개 준다,결론을,5,False,ㅋㅋ 퍼플로 계정 4개 만들어서 과금 안하고 천천히 하고 있던 유저다 ㅋㅋ 든데 덜컥 작업장의심이라며 계정 영구조치 하더라 ㅋㅋ 그러고 하는 말이 1대1문의 넣으래 넣으니깐 시간걸린데 ㅋㅋ 이벤트에 출석체크 다 날아가고 그래 그딴건 상관 없는데 운영이 개 그지 같자나 ㅋㅋ 지들이 퍼플이라는 거 만들어서 여러계정 하게 해놓소 자동사냥으로 24시간 돌리게 해놨으면서 이따구로 영구정지 시키네 ㅋㅋ 과금 안하면 그냥 쓸데없다 이거네 ㅋㅋ 그유저가 나중에 얼마를 하건 이딴건 필요없다는 거지 nc겜이라서 설마하며 2차 전직시켜보고 생각좀 할려고 했드만 아ㅖ 미리부터 하지 말라고 운영 갑질하네 ㅋㅋ 잘됬다 안하고 만다 쓰레기겜,"{'id': 17902827, 'body': '꿈꾸던 연대기의 시작, 리니지2M 안녕하세요. 리니지2M입니다. 고객님 안녕하세요. 무엇보다 답변이 늦어서 사과의 말씀을 드립니다. 고객님께서 남겨주신 소중한 리뷰에 감사드리며 들려주신 의견에 마음이 무겁습니다. 리뷰 의견은 보다 나은 운영과 고객님 게임 만족감을 위하여 발판으로 삼겠습니다. 언제라도 궁금한 내용이나 의견이 있을 경우 PLAYNC 고객센터 1:1 문의해 주시기를 바라며 접수 후에는 살펴서 확인하여 도움 또는 안내해 드리겠습니다. 날마다 행운이 가득하시기를 소망합니다. 고맙습니다. ', 'modified': '2020-09-16T06:00:00Z'}"
2,2019-11-29 00:00:06,아이폰7사용자,hsup2151,5,False,"11/27아니 진짜 욕나올정도로 짜증나는게 난 현질유도 이런거 다 상관없는데 이거 왜이렇게 계속 튕기는건데 내가 아 이러다 괜찮겟지 하고 계속하는데 뭐 할수가없네 이거 도저히 너무 열받아서 영상도 찍어봣다 접속에서 하는도중 튕기는거 하....진심 게임하면서 짜증내본적없는데 이거 진짜 심하게 짜증나네요...
11/29 와 오늘 혹시나해서 다시 켜봣는데 진짜 심각하네 패치하긴한거같은데 뭘 패치하신건지......아예 들어가지도 못하고 캐릭 접속에서 팅겨버리네ㅋ...대단합니다..","{'id': 18086689, 'body': '꿈꾸던 연대기의 시작, 리니지2M 안녕하세요. 리니지2M입니다. 고객님께서는 간헐적 게임 접속 종료 현상으로 리뷰를 남겨주셨네요. 먼저 게임 이용에 불편함을 끼쳐드려 죄송한 말씀 전해드립니다. 모바일 기기 특성상 네트워크, Wi-Fi, 앱 충돌, 단말기 사양 등 여러가지 사유로 인해 게임 내 접속이 종료될 수 있습니다. 만일 지속적으로 비정상 접속 종료될 경우 번거로우시더라도 상세한 확인을 위해 plaync 고객센터로 1:1문의 접수해 주신다면 면밀히 확인 후 고객님께 필요한 안내해 드리겠습니다. 감사합니다.', 'modified': '2020-09-25T01:58:22Z'}"
3,2019-11-27 04:41:04,그럼 그렇지,짜증이치밀어오른다,5,False,과금 창렬 페이투윈의 정석. 스킬 및 타격감 제로로  졸기 딱 좋음. 리니지M의 모든 과금 시스템 동일. 보라고 별점 5점줌. 24렙까지 퍼플인가로 키우고 바로 삭제함 이상. #추가> 직업도 등급있어서 파템이상할려면 랜덤뽑기로 뽑아야함.  2019년 가장 획기적인 현질시스템 등장. 모바일게임역사상 자기가 하고 싶은 케릭할려면 뽑아서 전직해야함.,"{'id': 17904453, 'body': '꿈꾸던 연대기의 시작, 안녕하세요. 리니지2M입니다. 안녕하세요. 고객님! 새로운 시작을 리니지2M과 함께 해주셔서 큰 영광입니다. 남겨주신 다양한 의견에 참으로 감사드리며 리니지2M이 성숙할 수 있도록 그 의견에 귀 기울이겠습니다. 혹여나 의견이나 궁금한 사항이 있을 경우 언제라도 고객센터 1:1문의해 주신다면 확인 후 곧 안내해 드리겠습니다. 리니지2M과 함께 소소한 기쁨과 행운도 따르기를 소망합니다. 감사합니다\r.\n', 'modified': '2020-09-16T07:14:54Z'}"
4,2019-12-08 04:29:34,여러분 이런 게임이 국내 1위 업체에서 만든 게임 수준입니다.,한심하네요 그냥,5,False,"이 겜 회사 대표가 근무시간 주 52시간도 부족하다고해서 나온 게임이 이 게임인데요. 
근무시간을 주 30시간을 하던 주 100시간을 하던 더 좋은 게임이 나왔을까요 과연? 이정도면 게임의 탈을 쓴 빠칭코 아닙니까? BM 개발하는데 시간 다 쏟은거 같네요! 여러분 게임회사도 문제지만 이런 게임을 돈을 퍼부어 가면서 하는 당신들도 문제입니다. 그러니 계속 이런 빠칭코만 나오죠! 정신차리세요!","{'id': 17903004, 'body': '꿈꾸던 연대기의 시작, 리니지2M 안녕하세요. 리니지2M입니다. 안녕하세요. 고객님 소중한 시간을 할애하여 남겨주신 리뷰에 감사드립니다. 게임 후의 불편하고 아쉬운 점을 남겨주셨네요. 리뷰의 소중한 말씀은 고객님의 마음에서 바라보도록 노력하겠습니다. 혹여나 궁금한 내용이나 의견이 있을 경우 PLAYNC 고객센터 1:1 문의해 주시기를 바라며 접수 후에는 살펴서 확인하여 안내해 드리겠습니다. 고맙습니다. \n\n', 'modified': '2020-09-16T06:10:59Z'}"
5,2021-08-29 17:57:59,한시간 뒤 맥북 비정상 종료,손글쓰기 개선사항,1,False,"맥북에서 리니지2m 을 할 수 있게 된건 매우 좋았으나 약 1~2시간뒤 맥북이 비정상 강제 종료가 되면서 컴퓨터가 꺼졋다가 켜집니다 몇차례 반복되어서도저히 게임을 진행 할 수 없습니다 
이러다가 노트북 고장나면 책임도 안줄거면서 호환성 해결좀 하세요 20년 M1 맥북 에어 모델입니다 
큰 기대가 큰 실망감을 가져다 주는데 이건 너무하네요
이런 버그성 고치고나서 홍보를 하던지 게임 출시를 하던지 해주시기 바랍니다
 - 화면이 윈도우 컴퓨터 블루스크린 처럼 변화 후 종료됨",
6,2019-11-27 12:49:58,제정신이 아닌 사람이 제정신이 아닌 사람을 위해 만든게임,Dtrt1031,5,False,리뷰라고 써 놓은 것들도 가관이고 돈 많은 사람들이야 자기돈 쓰는거니깐 뭐라 할수 없지만 정상이 아닌 비정상을 자기들 끼리 정상으로 우기는 꼴이 한심하다 내가 화가 나는건 과금러만은 위한 게임을 만들어 넣고 (심지어 게임성은 한참 떨어지면서) 온갖 허풍으로 현질을 하지 않는 정상적은 사람들을 바보라고 비웃으며 지들 끼리 이렇게 훌륭한 게임이 나왔소 하는 이 정신나간 현실이다 매출이야 저런 사람들이 몇천씩 질러주니깐 잘 오르겠지 그런데 이런 게임을 게임 카타골리에서 계속 봐야 한다는게 게임을 즐기는 한 사람으로써 부끄러울 뿐이다 이런 게임을 만드는 사람들은 최소한 내가 이렇게 훌륭한 게임인 리니지를 만들었네 하고 돌아 다니세요 그래야 게임 만드는 사람들이 그 모습 보면서 반성하지,"{'id': 18092431, 'body': '꿈꾸던 연대기의 시작, 리니지2M 안녕하세요. 리니지2M입니다. 고객님의 소중한 후기를 확인하였습니다. 고객님께서 말씀해주신 내용은 겸허히 받아들여 보다 나은 서비스를 위해 늘 노력하겠습니다. 혹여 다른 궁금하신 의견이나 문의사항이 있다면 언제든지 plaync 고객센터를 통해 최대한 빠르게 도움을 드리겠습니다. 감사합니다.', 'modified': '2020-09-25T07:21:04Z'}"
7,2019-12-07 12:54:38,수고했다,좃빠라라,5,False,"수고했다  쓰레기 게임 만든다고   
29까지 찍고   접는다 과금은 해도해도 끝이 없을것같고 
솔까 검은사막 했는데   펄어비스 에들은  장사하는 입장으로  개념이라도 있지만  너넨 정말 개념조차 없는것 같다 
평생 추억팔이나 하면서 장사해라 ㅋㅋㅋ  그 추억팔이가 언제까지 유지가 될지는 모르겠지만   역시 엔씨겜은 믿고 거른다는 말이 맞는거 같다","{'id': 18092666, 'body': '꿈꾸던 연대기의 시작, 리니지2M 안녕하세요. 리니지2M입니다. 기대에 부응하지 못하셨다니 마음이 무겁습니다. 고객님께서 말씀해주신 내용은 겸허히 받아들여 보다 앞으로 고객님의 플레이에 즐거움을 드릴 수 있는 리니지2M이 되도록 노력하겠습니다. 지속적인 노력을 통해 개선 방향을 찾도록 하여 추후 고객님께 큰 만족감을 드릴 수 있도록 하겠습니다. 감사합니다.', 'modified': '2020-09-25T07:31:58Z'}"
8,2019-12-04 01:27:16,도박입니다!!!,아니꼬우면접어,5,False,현질을  한다해도 뽑기라 전설만들려면 억을 투자해야할듯. . . 전설을 만들어도 다른직업을 돌려야하는데 한번돌릴때 5백만원? 원하는 직업 바로 나오는거도아님. 이겜은 나중에 과금하는 사람만 남을듯 무과금으로 하시는분들은 이겜 설치하지 마시길 바랍니다. 정신건강에 해롭습니다!,"{'id': 18087469, 'body': '꿈꾸던 연대기의 시작, 안녕하세요. 리니지2M입니다. 소중한 시간 내어 리뷰를 남겨주셔서 감사드립니다. 기대하신 만큼의 만족감을 드리지 못해 마음이 무겁습니다. (T^T) 게임 운영에 보다 더 신경쓰도록 하며 개선된 모습으로 보답해 드릴 수 있도록 항상 노력하는 리니지2M이 되겠습니다. 게임 이용 중 궁금하신 점이나 문의 사항은 언제든지 plaync 고객센터를 통해 1:1 문의 접수 해주시면 확인 후 답변 드리겠습니다. 감사합니다.\r', 'modified': '2020-09-25T02:45:12Z'}"
9,2020-01-30 09:03:12,최고네 아주그냥 잘만들었어,나무늘보님,5,False,무과금으로 섭랭킹 300위 안으로 꾸준히 하고있는데 계정도용신고? 로 접속 차단하네? 뭘 잘못했는지 뭘도용한건지 확인은 하고 정지시키니? 거래소에 10다야에 잘못올라온 탬 있길래 산죄밖에 없어 그게 도용이야? 내가 안샀으면 딴놈이 샀겠지 난 무과금이라 필요없었을 뿐이겠지? 정말 무과금으로 어디까지 할수있나 도전할생각뿐 재미는 한개도 없었는데 잘됐다 그만두게 해줘서 ㅋㅋㅋ 더했으면 과금할뻔했자나~ 운영 최고네 아주그냥 잘만들었어 도박게임,
